Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2017","2017","1000 ha","74020","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2017","2017","%","76.35","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2017","2017","%","38.08","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2018","2018","1000 ha","73909","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2018","2018","%","76.58","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2018","2018","%","38.02","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2019","2019","1000 ha","73977","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","76.97","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","38.05","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","74241","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2020","2020","%","74.14","E","Estimated value",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2020","2020","%","38.19","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","74199.81","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2021","2021","%","74.11","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2021","2021","%","38.17","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2022","2022","1000 ha","74082.75","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2022","2022","%","74.92","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2022","2022","%","38.11","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2023","2023","1000 ha","74099.695","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2023","2023","%","75.19","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2023","2023","%","38.12","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2016","2016","1000 ha","2614","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2017","2017","1000 ha","2538","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2018","2018","1000 ha","2427","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2019","2019","1000 ha","2495","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","2758.997","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2021","2021","1000 ha","2717.8108","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2022","2022","1000 ha","2600.7485","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6656","Perm. meadows & pastures - Cultivated","2023","2023","1000 ha","2617.698","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2016","2016","1000 ha","71350","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2017","2017","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2018","2018","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2019","2019","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2021","2021","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2022","2022","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2023","2023","1000 ha","71482","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2016","2016","1000 ha","67415.492","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2016","2016","million t","2075.048","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6646","Forest land","2016","2016","%","34.68","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2017","2017","1000 ha","67287.724","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2017","2017","million t","2071.116","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6646","Forest land","2017","2017","%","34.61","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2018","2018","1000 ha","67159.956","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2018","2018","million t","2067.184","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6646","Forest land","2018","2018","%","34.55","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2019","2019","1000 ha","67032.188","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2019","2019","million t","2063.252","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6646","Forest land","2019","2019","%","34.48","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2020","2020","1000 ha","66904.42","X","Figure from external organization",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2020","2020","million t","2059.32","X","Figure from external organization",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6646","Forest land","2020","2020","%","34.42","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6646","Forest land","2021","2021","1000 ha","66776.654","I","Value imputed by a receiving agency",""
"RL","Land Use","484","Mexico","72151","Carbon stock in living biomass","6646","Forest land","2021","2021","million t","2055.388","I","Value imputed by a receiving agency",""
