Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2020","2020","","122.59","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2021","2021","","114.11","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2022","2022","","94.87","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2023","2023","","87.97","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2016","2016","","104.61","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2017","2017","","111.19","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2018","2018","","111.25","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2019","2019","","95.13","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2020","2020","","117.05","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2021","2021","","108.23","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2022","2022","","89.3","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2023","2023","","82.09","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2016","2016","","102.11","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01321","Pomelos and grapefruits","2017","2017","","103","E","Estimated value"
